,model_name,word,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16,top_17,top_18,top_19,top_20,top_21,top_22,top_23,top_24,top_25,top_26,top_27,top_28,top_29,top_30,top_31,top_32,top_33,top_34,top_35,top_36,top_37,top_38,top_39,top_40,top_41,top_42,top_43,top_44,top_45,top_46,top_47,top_48,top_49,top_50,top_51,top_52,top_53,top_54,top_55,top_56,top_57,top_58,top_59,top_60,top_61,top_62,top_63,top_64,top_65,top_66,top_67,top_68,top_69,top_70,top_71,top_72,top_73,top_74,top_75,top_76,top_77,top_78,top_79,top_80,top_81,top_82,top_83,top_84,top_85,top_86,top_87,top_88,top_89,top_90,top_91,top_92,top_93,top_94,top_95,top_96,top_97,top_98,top_99,top_100
0,20,been,paige,winsor,distrust,deceiving,fucking,geospatial,vulgate,concepci,young,atreus,shaftesbury,modulate,guinea,col,brontosaurus,octahedra,gynt,alleles,corsairs,wilmut,lamp,ginsberg,montgomery,propellers,ahasuerus,classicists,portsmouth,breads,chaffee,sayers,maxims,frideric,darby,baleen,libby,hyi,aileen,sideline,caste,marble,disastrous,psychotropic,protease,bosman,xbox,standout,enrich,peripheral,interferon,score,francois,nanyang,savoury,assigns,eases,dangers,regulates,bes,narration,rosso,lom,sandworms,inline,ishaq,informal,jena,isc,selection,bought,leste,arrian,cypher,interpreting,differentiating,ringo,hydrogenation,suffragette,deceit,scrupulous,shane,cheapest,access,bains,flash,wounding,scone,amis,martel,samsung,flirty,kitty,shave,kampf,hostilities,pf,affective,genuinely,extrinsic,screws,stared
1,20,time,musical,humps,burning,ostrich,ttel,kemal,tart,jscript,curtis,walls,theodora,ely,toolkit,barometer,tackling,convertible,calibre,lagi,behavioral,ideograms,armando,mutualism,tl,suits,moorcock,pap,grasp,consecration,homme,satisfied,amusement,geographical,aglaulus,esters,legion,toil,forgave,nonsignatory,rearranging,breisgau,erlbaum,cameras,nor,ik,obe,warning,oup,flatly,ppm,caltrans,woman,camelopardalis,keitel,myrrh,swells,tupolev,blockaded,wm,wheels,proposition,operations,hobbit,pilgrims,wilfred,introduction,packed,hillsborough,madrid,ulrich,announcing,again,panacea,rei,impressionism,dispersion,sheepdog,lymphocytes,oceania,emeralds,porfirio,communicates,grohl,shit,patterning,carrera,herbicide,boomerang,alkynes,sony,baffin,passos,croft,syllabic,lactic,zapotec,peseta,trailed,dreadful,firstly,intentions
2,20,over,edd,greenberg,chords,succession,heine,inspires,geophysics,stella,heath,gne,confirms,arminius,vitamins,cromarty,cohort,icbms,tempering,petropavlovsk,belvedere,armand,burgundy,kim,knowingly,forties,ontario,primality,impatience,mints,neurotransmitters,ghidorah,ashkenazi,azali,pea,equations,embraced,sustained,afrikaners,dandelion,monism,satirize,ibo,dam,outreach,looms,westminster,roof,qualified,wa,lapd,frequent,wearer,strangeness,judicious,transcending,transactional,hypostasis,federal,silk,encrypt,wharton,gout,swallowing,studs,moctezuma,molly,phane,allude,denizens,ubangi,officiate,jumper,mysteries,mmorpgs,tribulations,hit,subscribe,circumventing,inbound,booster,evict,bethlehem,bijelo,boasted,fry,swapped,flaubert,greeting,flywheel,hypoxia,citing,move,jayne,attractor,acceptance,writing,differentiation,amalthea,blackboard,parse,syndicated
3,20,not,der,pestis,emphasized,ezekiel,luanda,autocorrelation,gh,huntington,enlargement,kyanite,tremendous,nord,forbidding,glyph,petit,rimini,pitcairn,duomo,isoleucine,politics,germinal,weep,toed,specialisation,richmond,softer,arif,washtenaw,fiber,aerodynamics,lauter,deal,harbin,canterbury,jetty,smoker,pavel,denoting,congruent,molecular,monocots,anxieties,enslaved,jeroboam,pawn,macaulay,glacial,andhra,connectors,sarcasm,intellectuals,xy,nathaniel,archetypical,cornwallis,tentacle,horsepower,coordination,togo,isle,deacidification,tristan,cub,hemorrhage,restroom,silly,itunes,bait,bca,cornwall,merkle,ears,staggering,tre,actuarial,exempted,heathers,pavlov,derivations,kendall,penultimate,kievan,divide,repulse,bijections,beggar,crimson,headway,fool,canisters,sulaiman,walton,dash,sharps,arrow,unam,discounts,entombed,chemists,francesca
4,20,three,actor,ridgway,forks,guerrillas,lunda,curly,prospectors,tora,captivity,goodman,boasts,parse,uat,loving,neighbour,yahoo,diomedes,probably,swedish,one,branched,relic,pln,miura,nomenclature,celsius,lasi,latinos,sexuality,tantamount,carnal,fouling,prohibit,medford,ibero,hplc,duo,recombination,aedui,kushner,omaha,abet,wied,chaste,cpm,tracked,adenylate,westwood,tempos,monism,commentarii,reindeer,escarpment,priestess,placement,grammarian,cardinal,yastrzemski,flop,ayin,filmmaker,instance,danielle,mortal,domestication,carbonyl,accommodate,mutilation,devises,noyce,almaty,steroid,listened,stating,reintroduced,nndb,rsync,neuroscientist,pnc,perseverance,spline,mucus,culmination,wrongs,bengali,menelik,osamu,greens,anthrax,reuss,dodge,unfavorable,unreachable,taunus,aid,aragonese,surprising,unexpectedly,reductionist,repairing
5,20,between,flunitrazepam,trending,alleviating,accusation,avid,lom,rosicrucians,lynx,humboldt,palate,anticonvulsants,duopoly,generality,worst,physica,accentual,delicacies,mehmet,acth,nutcracker,lifestyle,wanna,blooming,exercising,sabre,hein,purpose,congregation,confused,iww,crematoria,inconspicuous,cutting,predicament,quadrivium,sparc,motivates,gestation,ccc,shocks,salam,bessel,campbell,malo,clarion,lomo,despite,kilda,salvadoran,disabled,oed,mccarthyism,peruvian,fc,frederik,chief,salish,mohair,letter,dpp,auld,corned,ishvara,danner,allosteric,comprehensive,whey,euphonium,aam,asdb,uncomplicated,clutches,young,slogans,foreskin,melissa,expunged,huntley,breed,gabon,sitcom,mammals,constipation,hadassah,assault,parque,americanization,drying,gobind,leitch,bounces,overly,foul,engagements,oz,pompey,beaufort,scholastics,persona,omit
6,20,from,posthumously,kildall,cocteau,sst,privatize,justinian,premillennialism,remy,studded,gondwana,ship,disrepair,cream,whims,epiphenomenalism,lithuanians,northside,kelley,spotter,reduplication,baltimore,impair,mundane,apollinaris,fv,dryness,compulsory,zuse,follower,surnamed,altos,asylum,wushu,xxv,dissenters,illyricum,counts,midline,lagrand,decorator,moss,ingeborg,jugnauth,drills,anger,assembly,occultists,bakongo,kills,organometallic,proprietor,outlaws,stakeholders,talmadge,dissuade,empathy,shaku,pieced,czechs,theatrically,disdain,philippi,proportional,espn,amber,charisma,adic,softball,sava,ofcom,pissarro,burn,illusory,lawsuit,specimens,handbook,electromotive,timid,acadian,clarence,avenues,adr,prescription,possessor,consecrated,submitted,mistreated,mistranslation,belgium,elisabeth,rollins,lewis,graphing,economical,pomerania,dorothy,lopez,plata,bae,egan
7,20,eight,transfection,coordinators,kindred,integrator,cite,mitigate,vip,indulgences,vacant,schoolboy,personification,diet,simcity,fleeting,farina,hmso,liddell,sparkle,magneto,ears,xiv,dist,lana,circumnavigate,nav,tobin,shin,umbilical,fig,goalkeeper,showcased,ufa,hollis,heysel,sarawak,integrate,asymptotes,aural,tremendously,fredericksburg,disassembled,consisted,gen,larp,arles,manifests,lindbergh,teens,platonic,islands,porphyry,kut,marxists,disjoint,silenced,aching,platoon,circumvented,triples,discharged,streamline,turbulent,tentatively,hydrophobic,troubles,collectible,deserve,guignol,faraday,yorke,dougherty,rattle,violation,fundraising,eileen,homebrew,daredevil,burgundy,wally,meaningful,recognise,outtakes,kumar,forma,climate,corresponded,cti,bally,subpixels,instruction,avar,compton,islamabad,holloway,siouxsie,horn,autistics,andorra,brownish,nba
8,20,they,monorail,tienne,lesbian,effort,introspection,excavated,macedon,sulphate,riel,choruses,boasts,bulgar,microscopic,plot,fukuyama,errico,planetarium,academically,props,giorgio,likeness,epimenides,hogeschool,punctured,bureau,apostrophe,ballistics,smuggling,bambara,staples,crystals,temperaments,passenger,frederick,burgeoning,marlborough,mindset,breakthrough,problem,gunn,disguising,clad,academie,painters,dorian,hoppers,comptroller,lumley,lizard,hubris,fishery,inc,idealism,successive,avalanche,brine,renn,vita,gotthold,mingling,willingness,chesterton,zion,disrupt,aphelion,soaps,tsim,sgi,nieces,odense,trapdoor,lorraine,berthold,qu,cinemas,huguenots,electrodes,ideogram,darwin,crippled,matejko,renditions,garbled,monologue,pharisees,corned,eisenhower,bbbb,logically,performing,eaton,kankan,partement,operetta,adamant,yuen,isolates,hears,giver,misheard
9,20,more,foetus,porous,aristocratic,mabo,qutb,kibo,situational,remarried,scouts,harmonize,pardons,choral,cannibalistic,begs,unnecessarily,islands,scots,samadhi,ditch,pound,describes,unbeknownst,scanned,corporatist,remnants,disrespect,bitmaps,rasmussen,sena,unworthy,exocet,chained,wrecking,pleistocene,boney,capricorn,whether,gums,amy,hymnody,lured,enumerative,employers,directors,marina,copernicus,vlsi,shoghi,cereal,neighbourhoods,regum,bucky,codify,baseman,foy,widens,recast,rump,parisians,wee,gamecube,culminate,vestigial,hazael,toleration,bl,stags,spontaneous,afdb,dormancy,runge,coach,treeless,fate,rabbah,danced,tursiops,kawasaki,boyne,helix,director,tanenbaum,popularization,prophesied,roadway,utopian,terabytes,ei,codeword,outfitted,bissette,dowleh,noise,perimeter,escu,beneficiary,mesons,lx,flows,timescales
